,target,predict
0,2,4
1,14,18
2,23,23
3,20,20
4,25,24
5,4,5
6,16,16
7,24,19
8,18,19
9,7,7
10,16,16
11,16,16
12,14,12
13,15,16
14,14,13
15,5,6
16,13,23
17,21,21
18,16,15
19,17,16
20,19,20
21,24,23
22,13,13
23,17,17
24,4,5
25,17,16
26,18,17
27,23,23
28,16,17
29,22,22
30,26,25
31,20,20
32,21,21
33,20,19
34,25,24
35,12,12
36,24,25
37,17,17
38,13,11
39,19,19
40,16,17
41,22,22
42,15,20
43,15,15
44,24,24
45,22,20
46,16,16
47,15,14
48,21,22
49,15,14
50,14,14
51,8,8
52,13,14
53,17,16
54,23,25
55,23,23
56,17,17
57,20,20
58,10,10
59,12,12
60,13,13
61,20,20
62,20,9
63,8,8
64,24,25
65,19,20
66,20,19
67,8,8
68,16,16
69,18,18
70,20,19
71,13,11
72,19,20
73,13,12
74,17,17
75,13,14
76,15,19
77,21,21
78,16,16
79,2,2
80,12,12
81,24,24
82,20,21
83,20,4
84,6,5
85,14,13
86,17,16
87,26,22
88,16,14
89,18,18
90,16,16
91,20,20
92,25,25
93,20,21
94,16,16
95,22,22
96,14,14
97,23,23
98,19,15
99,18,18
100,26,24
101,21,13
102,15,15
103,25,24
104,20,20
105,19,12
106,8,8
107,17,16
108,13,13
109,20,25
110,17,20
111,18,17
112,13,13
113,7,6
114,16,19
115,8,7
116,19,20
117,16,17
118,10,11
119,25,24
120,16,16
121,16,16
122,1,3
123,16,16
124,21,24
125,21,21
126,9,10
127,19,20
128,21,21
129,18,21
130,19,20
131,16,16
132,18,20
133,20,20
134,2,2
135,19,19
136,19,20
137,4,4
138,22,22
139,12,11
140,14,14
141,8,8
142,17,9
143,11,11
144,16,20
145,19,19
146,17,17
147,16,23
148,15,15
149,18,21
150,13,17
151,22,21
152,19,23
153,16,16
154,6,6
155,12,11
156,19,19
157,23,23
158,15,14
159,18,20
160,22,21
161,12,13
162,15,15
163,22,22
164,21,21
165,25,25
166,19,20
167,25,24
168,11,9
